ID,601919.symbol,601919.name,601919.date,601919.open,601919.high,601919.low,601919.close,601919.close_prev,601919.change_pct,601919.volume,601919.amount,601919.turnover,601919.cap_market,601919.cap_total,601919.close_adj,601919.unit,600519.symbol,600519.name,600519.date,600519.open,600519.high,600519.low,600519.close,600519.close_prev,600519.change_pct,600519.volume,600519.amount,600519.turnover,600519.cap_market,600519.cap_total,600519.close_adj,600519.unit,601857.symbol,601857.name,601857.date,601857.open,601857.high,601857.low,601857.close,601857.close_prev,601857.change_pct,601857.volume,601857.amount,601857.turnover,601857.cap_market,601857.cap_total,601857.close_adj,601857.unit
11,601919.SS,中远海控,2019/7/17,4.99,5.05,4.96,5.02,4.98,0.8032,16728188,83749360,0.2191,38331085272,61542836720,3.636831,CNY,600519.SS,贵州茅台,2019/7/17,968,972.99,962.13,963.5,968,-0.4649,2546887,2459954487,0.2027,1.21E+12,1.21E+12,933.4233,CNY,601857.SS,中国石油,2019/7/17,6.6,6.62,6.58,6.6,6.62,-0.3021,48891363,322892609,0.0302,1.07E+12,1.21E+12,5.921421,CNY
12,601919.SS,中远海控,2019/7/18,4.98,5.01,4.88,4.88,5.02,-2.7888,15413114,76013952,0.2019,37262090862,59826502628,3.535405,CNY,600519.SS,贵州茅台,2019/7/18,961.5,963,947.18,947.5,963.5,-1.6606,3925295,3748507464,0.3125,1.19E+12,1.19E+12,917.9228,CNY,601857.SS,中国石油,2019/7/18,6.58,6.59,6.53,6.53,6.6,-1.0606,76040219,498311241,0.047,1.06E+12,1.20E+12,5.858618,CNY
13,601919.SS,中远海控,2019/7/19,4.92,5.22,4.91,5.09,4.88,4.3033,48138477,244994050,0.6304,38865582477,62401003765,3.687544,CNY,600519.SS,贵州茅台,2019/7/19,955,960.8,948,955.87,947.5,0.8834,2801481,2679887449,0.223,1.20E+12,1.20E+12,926.0315,CNY,601857.SS,中国石油,2019/7/19,6.54,6.58,6.53,6.55,6.53,0.3063,57948291,379940347,0.0358,1.06E+12,1.20E+12,5.876562,CNY
14,601919.SS,中远海控,2019/7/22,5.1,5.15,4.97,5.01,5.09,-1.5717,28797603,144945073,0.3771,38254728529,61420241427,3.629586,CNY,600519.SS,贵州茅台,2019/7/22,960,964,950.25,957.02,955.87,0.1203,2812549,2695084029,0.2239,1.20E+12,1.20E+12,927.1456,CNY,601857.SS,中国石油,2019/7/22,6.55,6.55,6.45,6.45,6.55,-1.5267,84994174,551270067,0.0525,1.04E+12,1.18E+12,5.786843,CNY
15,601919.SS,中远海控,2019/7/23,4.99,5.04,4.94,4.97,5.01,-0.7984,19633723,97898355,0.2571,37949301554,60929860258,3.600607,CNY,600519.SS,贵州茅台,2019/7/23,962.3,962.59,943.86,953.98,957.02,-0.3177,3248395,3087319264,0.2586,1.20E+12,1.20E+12,924.2005,CNY,601857.SS,中国石油,2019/7/23,6.45,6.47,6.43,6.45,6.45,0,50822041,327567582,0.0314,1.04E+12,1.18E+12,5.786843,CNY
16,601919.SS,中远海控,2019/7/24,4.98,5.02,4.89,4.91,4.97,-1.2072,29712284,147272080,0.3891,37491161093,60194288505,3.557139,CNY,600519.SS,贵州茅台,2019/7/24,958.31,959.9,944.69,946.36,953.98,-0.7988,4677120,4450509786,0.3723,1.19E+12,1.19E+12,916.8183,CNY,601857.SS,中国石油,2019/7/24,6.45,6.5,6.45,6.48,6.45,0.4651,62202602,402852461,0.0384,1.05E+12,1.19E+12,5.813759,CNY
17,601919.SS,中远海控,2019/7/25,4.87,4.89,4.75,4.82,4.91,-1.833,32614002,157327769,0.4271,36803950401,59090930874,3.491937,CNY,600519.SS,贵州茅台,2019/7/25,945.97,963.36,938.15,963,946.36,1.7583,3825570,3633246146,0.3045,1.21E+12,1.21E+12,932.9389,CNY,601857.SS,中国石油,2019/7/25,6.47,6.47,6.44,6.47,6.48,-0.1543,43038711,277975274,0.0266,1.05E+12,1.18E+12,5.804787,CNY
18,601919.SS,中远海控,2019/7/26,4.79,4.88,4.76,4.83,4.82,0.2075,20220209,97220018,0.2648,36880307144,59213526166,3.499182,CNY,600519.SS,贵州茅台,2019/7/26,961.97,971,958.55,965.03,963,0.2108,2646759,2556208822,0.2107,1.21E+12,1.21E+12,934.9055,CNY,601857.SS,中国石油,2019/7/26,6.45,6.57,6.44,6.54,6.47,1.0819,116335248,757442497,0.0718,1.06E+12,1.20E+12,5.86759,CNY
19,601919.SS,中远海控,2019/7/29,4.83,4.83,4.75,4.77,4.83,-1.2422,15291388,73082734,0.2003,36422166683,58477954413,3.455714,CNY,600519.SS,贵州茅台,2019/7/29,962.03,979.5,960.01,976.41,965.03,1.1792,2698133,2626793557,0.2148,1.23E+12,1.23E+12,945.9303,CNY,601857.SS,中国石油,2019/7/29,6.52,6.56,6.51,6.54,6.54,0,56523870,369504140,0.0349,1.06E+12,1.20E+12,5.86759,CNY
20,601919.SS,中远海控,2019/7/30,4.76,4.82,4.75,4.78,4.77,0.2096,20769932,99450412,0.272,36498523427,58600549705,3.462958,CNY,600519.SS,贵州茅台,2019/7/30,976.5,983,971,978.93,976.41,0.2581,1953797,1911965179,0.1555,1.23E+12,1.23E+12,948.3716,CNY,601857.SS,中国石油,2019/7/30,6.56,6.56,6.53,6.54,6.54,0,47269200,309282604,0.0292,1.06E+12,1.20E+12,5.86759,CNY
21,601919.SS,中远海控,2019/7/31,4.76,4.78,4.67,4.69,4.78,-1.8828,23275354,109362762,0.3048,35811312734,57497192075,3.397756,CNY,600519.SS,贵州茅台,2019/7/31,975,981.77,966.59,972.6,978.93,-0.6466,2252620,2191909987,0.1793,1.22E+12,1.22E+12,942.2392,CNY,601857.SS,中国石油,2019/7/31,6.54,6.55,6.5,6.51,6.54,-0.4587,40173380,261776936,0.0248,1.05E+12,1.19E+12,5.840674,CNY
22,601919.SS,中远海控,2019/8/1,4.64,4.69,4.63,4.65,4.69,-0.8529,15569816,72418798,0.2039,35505885760,57006810906,3.368778,CNY,600519.SS,贵州茅台,2019/8/1,976.51,977,953.02,959.3,972.6,-1.3675,3508952,3385045858,0.2793,1.21E+12,1.21E+12,929.3544,CNY,601857.SS,中国石油,2019/8/1,6.49,6.5,6.45,6.46,6.51,-0.768,50752817,328507065,0.0313,1.05E+12,1.18E+12,5.795815,CNY
23,601919.SS,中远海控,2019/8/2,4.54,4.54,4.35,4.51,4.65,-3.0108,33427130,149150924,0.4378,34436891350,55290476814,3.267352,CNY,600519.SS,贵州茅台,2019/8/2,944,957.98,943,954.45,959.3,-0.5056,3971940,3772328947,0.3162,1.20E+12,1.20E+12,924.6558,CNY,601857.SS,中国石油,2019/8/2,6.38,6.38,6.31,6.33,6.46,-2.0124,95839322,607698285,0.0592,1.02E+12,1.16E+12,5.679181,CNY
24,601919.SS,中远海控,2019/8/5,4.47,4.5,4.41,4.43,4.51,-1.7738,15133020,67290120,0.1982,33826037402,54309714476,3.209395,CNY,600519.SS,贵州茅台,2019/8/5,945,954,940,942.43,954.45,-1.2594,3677431,3473341317,0.2927,1.18E+12,1.18E+12,913.011,CNY,601857.SS,中国石油,2019/8/5,6.31,6.32,6.25,6.25,6.33,-1.2638,65246356,409216740,0.0403,1.01E+12,1.14E+12,5.607406,CNY
25,601919.SS,中远海控,2019/8/6,4.31,4.45,4.3,4.41,4.43,-0.4515,22278485,97175337,0.2918,33673323914,54064523891,3.194905,CNY,600519.SS,贵州茅台,2019/8/6,931,948,923.8,946.3,942.43,0.4106,4399116,4121445010,0.3502,1.19E+12,1.19E+12,916.7602,CNY,601857.SS,中国石油,2019/8/6,6.17,6.19,6.13,6.16,6.25,-1.44,90367104,556623325,0.0558,9.97E+11,1.13E+12,5.52666,CNY
26,601919.SS,中远海控,2019/8/7,4.44,4.47,4.41,4.44,4.41,0.6803,11464665,50908775,0.1501,33902394145,54432309768,3.216639,CNY,600519.SS,贵州茅台,2019/8/7,949.5,955.53,945,945,946.3,-0.1374,2686998,2553463419,0.2139,1.19E+12,1.19E+12,915.5008,CNY,601857.SS,中国石油,2019/8/7,6.16,6.28,6.13,6.2,6.16,0.6494,88996986,551871342,0.055,1.00E+12,1.13E+12,5.562547,CNY
27,601919.SS,中远海控,2019/8/8,4.45,4.49,4.41,4.48,4.44,0.9009,12026011,53360399,0.1575,34207821119,54922690937,3.245618,CNY,600519.SS,贵州茅台,2019/8/8,953.5,974,952,971.68,945,2.8233,3880813,3755086990,0.3089,1.22E+12,1.22E+12,941.3479,CNY,601857.SS,中国石油,2019/8/8,6.17,6.2,6.16,6.17,6.2,-0.4839,57586013,355890045,0.0356,9.99E+11,1.13E+12,5.535632,CNY
28,601919.SS,中远海控,2019/8/9,4.48,4.5,4.4,4.44,4.48,-0.8929,9901982,43993276,0.1297,33902394145,54432309768,3.216639,CNY,600519.SS,贵州茅台,2019/8/9,978.5,980.95,958.99,962.03,971.68,-0.9931,2846170,2760764357,0.2266,1.21E+12,1.21E+12,931.9992,CNY,601857.SS,中国石油,2019/8/9,6.19,6.22,6.14,6.17,6.17,0,56478575,348868483,0.0349,9.99E+11,1.13E+12,5.535632,CNY
29,601919.SS,中远海控,2019/8/12,4.44,4.46,4.39,4.45,4.44,0.2252,8717255,38465017,0.1142,33978750889,54554905060,3.223884,CNY,600519.SS,贵州茅台,2019/8/12,1010.31,1020.1,995.01,1018.63,962.03,5.8834,8149895,8208540716,0.6488,1.28E+12,1.28E+12,986.8324,CNY,601857.SS,中国石油,2019/8/12,6.17,6.19,6.15,6.19,6.17,0.3241,41709671,257521139,0.0258,1.00E+12,1.13E+12,5.553575,CNY
30,601919.SS,中远海控,2019/8/13,4.4,4.4,4.35,4.36,4.45,-2.0225,8808350,38465094,0.1154,33291540197,53451547430,3.158682,CNY,600519.SS,贵州茅台,2019/8/13,1016.16,1026,1010.68,1017.95,1018.63,-0.0668,3032970,3088013760,0.2414,1.28E+12,1.28E+12,986.1736,CNY,601857.SS,中国石油,2019/8/13,6.17,6.17,6.13,6.14,6.19,-0.8078,42810762,263203285,0.0264,9.94E+11,1.12E+12,5.508716,CNY
31,601919.SS,中远海控,2019/8/14,4.42,4.46,4.39,4.41,4.36,1.1468,10701883,47389955,0.1402,33673323914,54064523891,3.194905,CNY,600519.SS,贵州茅台,2019/8/14,1030.02,1051.9,1030.02,1043.33,1017.95,2.4932,4141095,4327071299,0.3297,1.31E+12,1.31E+12,1010.7613,CNY,601857.SS,中国石油,2019/8/14,6.17,6.19,6.13,6.14,6.14,0,48662603,299794558,0.0301,9.94E+11,1.12E+12,5.508716,CNY
32,601919.SS,中远海控,2019/8/15,4.28,4.41,4.26,4.39,4.41,-0.4535,10150229,44099787,0.1329,33520610427,53819333307,3.180416,CNY,600519.SS,贵州茅台,2019/8/15,1028,1046.48,1028,1044.9,1043.33,0.1505,2723739,2821331120,0.2168,1.31E+12,1.31E+12,1012.2823,CNY,601857.SS,中国石油,2019/8/15,6.06,6.11,6.03,6.1,6.14,-0.6515,57756532,350652907,0.0357,9.88E+11,1.12E+12,5.472829,CNY
33,601919.SS,中远海控,2019/8/16,4.4,4.46,4.37,4.45,4.39,1.3667,11154597,49308396,0.1461,33978750889,54554905060,3.223884,CNY,600519.SS,贵州茅台,2019/8/16,1049.84,1075.58,1041,1054.6,1044.9,0.9283,3608673,3822488363,0.2873,1.32E+12,1.32E+12,1021.6795,CNY,601857.SS,中国石油,2019/8/16,6.09,6.12,6.07,6.1,6.1,0,44962180,274045605,0.0278,9.88E+11,1.12E+12,5.472829,CNY
34,601919.SS,中远海控,2019/8/19,4.47,4.55,4.45,4.55,4.45,2.2472,15851478,71393988,0.2076,34742318324,55780857983,3.296331,CNY,600519.SS,贵州茅台,2019/8/19,1061,1069.98,1049.05,1055.88,1054.6,0.1214,3286758,3471558016,0.2616,1.33E+12,1.33E+12,1022.9196,CNY,601857.SS,中国石油,2019/8/19,6.1,6.18,6.08,6.18,6.1,1.3115,69927360,429057763,0.0432,1.00E+12,1.13E+12,5.544603,CNY
35,601919.SS,中远海控,2019/8/20,4.51,4.59,4.51,4.54,4.55,-0.2198,10494980,47706955,0.1374,34665961581,55658262691,3.289086,CNY,600519.SS,贵州茅台,2019/8/20,1055,1073.68,1050,1070,1055.88,1.3373,2860213,3038219263,0.2277,1.34E+12,1.34E+12,1036.5988,CNY,601857.SS,中国石油,2019/8/20,6.17,6.22,6.15,6.19,6.18,0.1618,52564402,325448086,0.0325,1.00E+12,1.13E+12,5.553575,CNY
36,601919.SS,中远海控,2019/8/21,4.53,4.65,4.51,4.58,4.54,0.8811,14214403,65344922,0.1862,34971388555,56148643860,3.318065,CNY,600519.SS,贵州茅台,2019/8/21,1070.1,1076.97,1061.66,1066,1070,-0.3738,2506662,2678841887,0.1995,1.34E+12,1.34E+12,1032.7236,CNY,601857.SS,中国石油,2019/8/21,6.19,6.19,6.15,6.17,6.19,-0.3231,34287647,211565935,0.0212,9.99E+11,1.13E+12,5.535632,CNY
37,601919.SS,中远海控,2019/8/22,4.58,4.63,4.52,4.56,4.58,-0.4367,9749320,44487146,0.1277,34818675068,55903453275,3.303575,CNY,600519.SS,贵州茅台,2019/8/22,1072.99,1104,1070,1104,1066,3.5647,3759078,4099045126,0.2992,1.39E+12,1.39E+12,1069.5374,CNY,601857.SS,中国石油,2019/8/22,6.17,6.18,6.13,6.15,6.17,-0.3241,37307378,229278903,0.023,9.96E+11,1.13E+12,5.517688,CNY
38,601919.SS,中远海控,2019/8/23,4.58,4.59,4.53,4.56,4.56,0,7416441,33788787,0.0971,34818675068,55903453275,3.303575,CNY,600519.SS,贵州茅台,2019/8/23,1105,1133.56,1095.62,1130.1,1104,2.3641,4019230,4495782910,0.32,1.42E+12,1.42E+12,1094.8227,CNY,601857.SS,中国石油,2019/8/23,6.16,6.17,6.11,6.12,6.15,-0.4878,42795686,262718694,0.0264,9.91E+11,1.12E+12,5.490772,CNY
39,601919.SS,中远海控,2019/8/26,4.43,4.48,4.39,4.47,4.56,-1.9737,10634523,47330268,0.1393,34131464376,54800095645,3.238373,CNY,600519.SS,贵州茅台,2019/8/26,1113,1128,1096.68,1102.95,1130.1,-2.4024,4849789,5382792365,0.3861,1.39E+12,1.39E+12,1068.5202,CNY,601857.SS,中国石油,2019/8/26,6.03,6.07,6.02,6.07,6.12,-0.817,47107708,285089984,0.0291,9.83E+11,1.11E+12,5.445913,CNY
40,601919.SS,中远海控,2019/8/27,4.52,4.6,4.5,4.58,4.47,2.4609,16954521,77411197,0.222,34971388555,56148643860,3.318065,CNY,600519.SS,贵州茅台,2019/8/27,1117,1131.31,1109,1109,1102.95,0.5485,5216421,5830617878,0.4153,1.39E+12,1.39E+12,1074.3814,CNY,601857.SS,中国石油,2019/8/27,6.08,6.13,6.07,6.1,6.07,0.4942,70802591,432429972,0.0437,9.88E+11,1.12E+12,5.472829,CNY
