"WEO Country Code","ISO","WEO Subject Code","Country","Subject Descriptor","Subject Notes","Units","Scale","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","Estimates Start After"
512,"AFG","NGDPD","Afghanistan","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4.367","4.5529999999999999","5.1459999999999999","6.1669999999999998","6.9249999999999998","8.5559999999999992","10.297000000000001","12.066000000000001","15.324999999999999","17.89","20.292999999999999","20.170000000000002","20.616","20.056999999999999","18.02","18.882999999999999","18.401","18.876000000000001","20.135999999999999","n/a","n/a","n/a","n/a","n/a","n/a",2019
914,"ALB","NGDPD","Albania","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","1.946","2.2290000000000001","2.2959999999999998","2.319","2.29","2.339","2.5870000000000002","2.5659999999999998","2.5299999999999998","2.7789999999999999","2.2210000000000001","1.333","0.84299999999999997","1.4610000000000001","2.3610000000000002","2.8820000000000001","3.2","2.2589999999999999","2.56","3.2090000000000001","3.4830000000000001","3.9279999999999999","4.3479999999999999","5.6109999999999998","7.1849999999999996","8.0519999999999996","8.8960000000000008","10.677","12.881","12.044","11.936999999999999","12.898999999999999","12.324","12.784000000000001","13.246","11.388999999999999","11.862","13.053000000000001","15.147","15.282999999999999","14.827999999999999","16.77","18.012","18.931000000000001","20.026","21.15","22.308",2020
612,"DZA","NGDPD","Algeria","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","42.345999999999997","44.372","44.78","47.529000000000003","51.512999999999998","61.131999999999998","61.534999999999997","63.3","51.664000000000001","52.558","61.892000000000003","46.67","49.216999999999999","50.963000000000001","42.426000000000002","42.066000000000003","46.941000000000003","48.177999999999997","48.188000000000002","48.844999999999999","54.749000000000002","54.744999999999997","56.761000000000003","67.864000000000004","85.331999999999994","103.19799999999999","117.027","134.977","171.001","137.21100000000001","161.20699999999999","200.02","209.059","209.755","213.81","165.97900000000001","160.03399999999999","170.20699999999999","175.36699999999999","171.07","147.6","163.81200000000001","168.19499999999999","172.09399999999999","173.71899999999999","174.376","175.22800000000001",2019
171,"AND","NGDPD","Andorra","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1.429","1.5469999999999999","1.758","2.3620000000000001","2.8959999999999999","3.1579999999999999","3.456","3.952","4.0819999999999999","3.6749999999999998","3.4460000000000002","3.625","3.1890000000000001","3.1930000000000001","3.2669999999999999","2.7890000000000001","2.895","2.9929999999999999","3.2170000000000001","3.1549999999999998","2.8580000000000001","3.2130000000000001","3.46","3.6589999999999998","3.851","4.0170000000000003","4.1790000000000003",2020
614,"AGO","NGDPD","Angola","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","6.6390000000000002","6.2140000000000004","6.2140000000000004","6.476","6.8639999999999999","8.4570000000000007","7.9180000000000001","9.0500000000000007","9.8179999999999996","11.420999999999999","12.571","12.186","9.3949999999999996","6.819","4.9649999999999999","6.1970000000000001","7.9939999999999998","9.3879999999999999","7.9580000000000002","7.5259999999999998","11.166","10.93","15.286","17.812999999999999","23.552","36.970999999999997","52.381","65.266000000000005","88.539000000000001","70.307000000000002","83.799000000000007","111.79","128.053","136.71","145.71199999999999","116.194","101.124","122.02200000000001","101.35299999999999","84.516000000000005","58.375999999999998","70.338999999999999","74.953000000000003","79.304000000000002","84.614000000000004","90.888000000000005","96.436999999999998",2020
311,"ATG","NGDPD","Antigua and Barbuda","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","0.13100000000000001","0.14799999999999999","0.16400000000000001","0.182","0.20799999999999999","0.24099999999999999","0.28999999999999998","0.33700000000000002","0.39900000000000002","0.439","0.45900000000000002","0.48199999999999998","0.499","0.53500000000000003","0.58899999999999997","0.57699999999999996","0.63400000000000001","0.68100000000000005","0.72799999999999998","0.76600000000000001","0.82599999999999996","0.8","0.81399999999999995","0.85599999999999998","0.92","1.0229999999999999","1.1579999999999999","1.3129999999999999","1.37","1.228","1.149","1.1379999999999999","1.2","1.181","1.25","1.337","1.4370000000000001","1.468","1.605","1.6870000000000001","1.37","1.405","1.534","1.6519999999999999","1.7589999999999999","1.855","1.9430000000000001",2019
213,"ARG","NGDPD","Argentina","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","233.696","189.80199999999999","94.25","116.267","130.54400000000001","98.599000000000004","118.565","121.56100000000001","142.386","91.352000000000004","158.024","211.97900000000001","255.78700000000001","264.42899999999997","287.83499999999998","288.49700000000001","304.28199999999998","327.43599999999998","334.24400000000003","316.99799999999999","317.75900000000001","300.42099999999999","112.458","142.43100000000001","164.911","199.273","232.892","287.92099999999999","363.54500000000002","334.63299999999998","424.72899999999998","527.64400000000001","579.66600000000005","611.471","563.61400000000003","642.46400000000006","556.774","643.86099999999999","524.43100000000004","451.815","389.06400000000002","455.17200000000003","483.76499999999999","476.48500000000001","488.26900000000001","511.52300000000002","536.22900000000004",2020
911,"ARM","NGDPD","Armenia","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","0.108","0.83499999999999996","0.64800000000000002","1.2869999999999999","1.597","1.639","1.8919999999999999","1.845","1.9119999999999999","2.1179999999999999","2.3759999999999999","2.8069999999999999","3.577","4.9000000000000004","6.3840000000000003","9.2059999999999995","11.662000000000001","8.6479999999999997","9.26","10.141999999999999","10.619","11.121","11.61","10.553000000000001","10.545999999999999","11.526999999999999","12.458","13.619","12.641","13.612","15.06","16.157","17.369","18.684000000000001","20.084",2020
314,"ABW","NGDPD","Aruba","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1.321","1.38","1.532","1.665","1.7230000000000001","1.873","1.8959999999999999","1.962","2.044","2.2549999999999999","2.36","2.4700000000000002","2.6779999999999999","2.843","2.5539999999999998","2.4540000000000002","2.6379999999999999","2.6150000000000002","2.7280000000000002","2.7909999999999999","2.9630000000000001","2.984","3.0920000000000001","3.202","3.31","2.4969999999999999","2.8650000000000002","3.1269999999999998","3.3690000000000002","3.5","3.6019999999999999","3.7010000000000001",2020
193,"AUS","NGDPD","Australia","Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]","U.S. dollars","Billions","162.62799999999999","188.06700000000001","186.709","179.15100000000001","196.77699999999999","174.06700000000001","181.14699999999999","212.71199999999999","270.59399999999999","307.72000000000003","323.39699999999999","323.78300000000002","317.47500000000002","308.75599999999997","352.56400000000002","378.13499999999999","423.54399999999998","425.536","380.61399999999998","411.05900000000003","399.101","376.714","424.42500000000001","539.56200000000001","656.73500000000001","734.053","781.29399999999998","947.89","1055.51","998.92499999999995","1251.8599999999999","1513.68","1569.31","1518.43","1457.38","1234.8399999999999","1266.2","1385.2","1421.19","1392.33","1359.37","1610.56","1677.45","1772.05","1864.88","1957.35","2051.56",2020
